id;payment_id;payment_uuid;payment_method;payment_amount;payment_status
1;36635;29856d2c-8439-4120-a176-5ce8d3b06757;COD;56143;RETURN
2;20882;815a2222-2458-40aa-b186-4e4a1bc637b1;COD;24324;RETURN
3;52285;ad448e30-5584-4eeb-8ff8-3ccc3d6a0bb9;CREDITCARD;54932;IN_PROGRESS
4;72851;ffd808ab-d8a7-4594-88fa-2d80a9fda4cb;COD;86058;SUCCESS
5;42931;79c440bc-f039-40ca-937b-a8bbb95903f6;COD;63694;IN_PROGRESS
6;59303;465ec2e1-51b3-4ceb-9a9c-21a3229f4d36;COD;27165;SUCCESS
7;50307;fa402c71-33e8-43a2-9c9b-78e78ad04873;COD;17249;IN_PROGRESS
8;91618;fe248493-42b9-4d6c-adbd-dd7b5fbc38e5;COD;31187;IN_PROGRESS
9;80189;0445650a-4860-45d6-97f9-895e3c75630b;COD;55888;SUCCESS
10;72028;0ad1416b-9ae3-41ff-9714-d3fb015fefd9;CREDITCARD;55359;SUCCESS
