id;order_id;order_status;selected_slot;placed_at;placed_on;delivered_at;delivered_on
1;Philippines reinvent Technician;RECEVIED;2020-07-16;Grocery Accounts;2020-07-16;Bermudian Dollar (customarily known as Bermuda Dollar) granular Metal;2020-07-15
2;Operations experiences Vatu;IN_LAUNDRY;2020-07-16;hacking Cambridgeshire architect;2020-07-15;AGP synergistic;2020-07-15
3;Strategist feed;PROCESSING;2020-07-15;hybrid Granite SCSI;2020-07-16;Russian Ruble green Practical Plastic Hat;2020-07-16
4;actuating;RECEVIED;2020-07-15;system Intelligent Personal Loan Account;2020-07-16;connect Bermuda radical;2020-07-16
5;XSS Garden;IN_LAUNDRY;2020-07-15;integrated Creative;2020-07-16;Alabama cross-platform Home Loan Account;2020-07-15
6;Kids Berkshire Practical Wooden Chips;COMPLETED;2020-07-15;Avon quantify capacity;2020-07-15;China;2020-07-15
7;Games port implement;IN_PROGRESS;2020-07-16;collaboration Vermont orchid;2020-07-16;optical;2020-07-15
8;Implementation withdrawal;PROCESSING;2020-07-16;Re-contextualized;2020-07-15;Granite engage digital;2020-07-15
9;West Virginia Movies card;PROCESSING;2020-07-15;Face to face Manager plum;2020-07-16;Savings Account metrics;2020-07-15
10;Checking Account;IN_LAUNDRY;2020-07-16;SCSI Rest;2020-07-16;1080p;2020-07-16
